round,type,position,driver,points
4,sprint,10,PIA,0
4,sprint,11,MAG,0
4,sprint,12,ZHO,0
4,sprint,13,GAS,0
4,sprint,14,DEV,0
4,sprint,15,HUL,0
4,sprint,16,BOT,0
4,sprint,17,NOR,0
4,sprint,18,OCO,0
4,sprint,19,TSU,0
4,sprint,20,SAR,0
10,sprint,1,VER,8
10,sprint,2,PER,7
10,sprint,3,SAI,6
10,sprint,4,STR,5
10,sprint,5,ALO,4
10,sprint,6,HUL,3
10,sprint,7,OCO,2
10,sprint,8,RUS,1
10,sprint,9,NOR,0
10,sprint,10,HAM,0
10,sprint,11,PIA,0
10,sprint,12,LEC,0
10,sprint,13,ALB,0
10,sprint,14,MAG,0
10,sprint,15,GAS,0
10,sprint,16,TSU,0
10,sprint,17,DEV,0
10,sprint,18,SAR,0
10,sprint,19,ZHO,0
10,sprint,20,BOT,0
13,sprint,1,VER,8
13,sprint,2,PIA,7
13,sprint,3,GAS,6
13,sprint,4,SAI,5
13,sprint,5,LEC,4
13,sprint,6,NOR,3
13,sprint,7,HAM,2
13,sprint,8,RUS,1
13,sprint,9,OCO,0
13,sprint,10,RIC,0
13,sprint,11,STR,0
13,sprint,12,ALB,0
13,sprint,13,BOT,0
13,sprint,14,MAG,0
13,sprint,15,ZHO,0
13,sprint,16,SAR,0
13,sprint,17,HUL,0
13,sprint,18,TSU,0
13,sprint,19,PER,0
13,sprint,20,ALO,0
18,sprint,1,PIA,8
18,sprint,2,VER,7
18,sprint,3,NOR,6
18,sprint,4,RUS,5
18,sprint,5,HAM,4
18,sprint,6,SAI,3
18,sprint,7,ALB,2
18,sprint,8,ALO,1
18,sprint,9,GAS,0
18,sprint,10,BOT,0
18,sprint,11,TSU,0
18,sprint,12,LEC,0
18,sprint,13,STR,0
18,sprint,14,MAG,0
18,sprint,15,ZHO,0
18,sprint,16,HUL,0
18,sprint,17,OCO,0
18,sprint,18,PER,0
18,sprint,19,SAR,0
18,sprint,20,LAW,0
18,race,1,VER,26
18,race,2,PIA,18
18,race,3,NOR,15
18,race,4,RUS,12
18,race,5,LEC,10
18,race,6,ALO,8
18,race,7,OCO,6
18,race,8,BOT,4
18,race,9,ZHO,2
18,race,10,PER,1
18,race,11,STR,0
18,race,12,GAS,0
18,race,13,ALB,0
18,race,14,MAG,0
18,race,15,TSU,0
18,race,16,HUL,0
18,race,17,LAW,0
18,race,18,SAR,0
18,race,19,HAM,0
18,race,20,SAI,0
19,sprint,1,VER,8
19,sprint,2,HAM,7
19,sprint,3,LEC,6
19,sprint,4,NOR,5
19,sprint,5,PER,4
19,sprint,6,SAI,3
19,sprint,7,GAS,2
19,sprint,8,RUS,1
19,sprint,9,ALB,0
19,sprint,10,PIA,0
19,sprint,11,OCO,0
19,sprint,12,RIC,0
19,sprint,13,ALO,0
19,sprint,14,TSU,0
19,sprint,15,HUL,0
19,sprint,16,BOT,0
19,sprint,17,ZHO,0
19,sprint,18,MAG,0
19,sprint,19,SAR,0
19,sprint,20,STR,0
19,race,1,VER,25
19,race,2,HAM,18
19,race,3,NOR,15
19,race,4,SAI,12
19,race,5,PER,10
19,race,6,LEC,8
19,race,7,RUS,6
19,race,8,GAS,4
19,race,9,STR,2
19,race,10,TSU,2
19,race,11,ALB,0
19,race,12,SAR,0
19,race,13,HUL,0
19,race,14,BOT,0
19,race,15,ZHO,0
19,race,16,MAG,0
19,race,17,RIC,0
19,race,18,ALO,0
19,race,19,PIA,0
19,race,20,OCO,0
